RANK,,NAME,OPPONENT,RECORD,WEIGHTCLASS,
–,,Sasha Palatnikov,Impa Kasanganay - UFC Vegas 23,1–0,WW,
–,,Shavkat Rakhmonov,,1–0,WW,
–,,Ramiz Brahimaj,,0–1,WW,
–,,Louis Cosce,,0–1,WW,
–,,Philip Rowe,,0–1,WW,
–,,Stefan Sekulic,Dwight Grant - UFC 261,0–1,WW,
–,,Niklas Stolze,,0–1,WW,
–,,Dean Barry,Injury,0–0,WW,
–,,Calen Born,,0–0,WW,
–,,Orion Cosce,Injury,0–0,WW,
–,,Amiran Gogoladze,,0–0,WW,
–,,Carlston Harris,Christian Aguilera,0–0,WW,
,,,,,,
,,,,,,
–,,Jim Miller,Joe Solecki - UFC Vegas 23,21–14 (1 NC),LW,
–,,Jeremy Stephens ↑,Drakkar Klose - UFC Vegas 24,15–17 (1 NC),LW,
7,,Rafael dos Anjos,,19–11,LW,
–,,Clay Guida,,16–14,LW,
1,,Dustin Poirier*,Conor McGregor - UFC 264,20–6 (1 NC),LW,
3,,Charles Oliveira,Michael Chandler - UFC 262,18–8 (1 NC),LW,
–,,Joe Lauzon,,15–12,LW,
–,,Michael Johnson,,11–13,LW,
–,,Bobby Green,Illness,12–7–1,LW,
9,,Beneil Dariush,Tony Ferguson - UFC 262,14–4–1,LW,
5,,Tony Ferguson,Beneil Dariush - UFC 262,15–3,LW,
13,,Kevin Lee,,11–6,LW,
–,,John Makdessi,Ignacio Bahamondes - UFC Vegas 23,10–7,LW,
8,,Daniel Hooker,,10–6,LW,
–,,Drew Dober,,9–6 (1 NC),LW,
10,,Paul Felder,,9–6,LW,
14,,Al Iaquinta,,9–5,LW,
–,,Yancy Medeiros,,6–7 (1 NC),LW,
6,,Conor McGregor,Dustin Poirier - UFC 264,10–3,LW,
12,,Carlos Diego Ferreira,,8–3,LW,
–,,Scott Holtzman,Mateusz Gamrot - UFC Vegas 23,7–4,LW,
–,,Renato Moicano,,6–4,LW,
–,,Landon Vannata,,3–5–2,LW,
11,,Islam Makhachev,,8–1,LW,
–,,Leonardo Santos,,7–1–1,LW,
–,,Gabriel Benitez,Jonathan Pearce,5–4,LW,
–,,Marc Diakiese,,5–4,LW,
–,,Alexander Yakovlev,,3–6,LW,
–,,Vinc Pichel,,6–2,LW,
2,,Justin Gaethje,,5–3,LW,
–,,Alan Patrick,Mason Jones,5–3,LW,
–,,Christos Giagos,Joel Alvarez - UFC 262,4–4,LW,
15,,Gregor Gillespie,,6–1,LW,
–,,Nasrat Haqparast,,5–2,LW,
–,,Drakkar Klose,Jeremy Stephens - UFC Vegas 24,5–2,LW,
–,,Alex Hernandez,,4–3,LW,
–,,Luis Pena,Alex Munoz - UFC Vegas 24,4–3,LW,
–,,Davi Ramos,,4–3,LW,
–,,Roosevelt Roberts,,4–3,LW,
–,,Damir Hadzovic,Nikolas Motta,3–4,LW,
–,,Frank Camacho,Illness,2–5,LW,
–,,David Teymur,,5–1,LW,
–,,Thiago Moises,,4–2,LW,
–,,Joaquim Silva,,4–2,LW,
–,,Rick Glenn ↑,Injury,3–3,LW,
–,,Grant Dawson,,5–0,LW,
–,,Magomed Mustafaev,,3–2,LW,
–,,Jalin Turner,,3–2,LW,
–,,Matt Frevola,,2–2–1,LW,
–,,Chris Gruetzemacher,,2–3,LW,
–,,Austin Hubbard,Natan Levy - UFC Vegas 24,2–3,LW,
–,,Joel Alvarez,Christos Giagos - UFC 262,3–1,LW,
–,,Rafael Fiziev,,3–1,LW,
–,,Devonte Smith,,3–1,LW,
–,,Arman Tsarukyan,,3–1,LW,
–,,Khama Worthy,,2–2,LW,
–,,Justin Jaynes,,1–3,LW,
–,,Teemu Packalen,,1–3,LW,
–,,Jesse Ronson ↓,USADA Suspension,1–3,LW,
–,,Damir Ismagulov,Rafael Alves - UFC 262,3–0,LW,
–,,Brad Riddell,,3–0,LW,
–,,Herbert Burns ↑,Injury,2–1,LW,
–,,Mike Davis,,2–1,LW,
–,,Claudio Puelles,,2–1,LW,
–,,Alex da Silva,,1–2,LW,
–,,Jamie Mullarkey,,1–2,LW,
–,,Ottman Azaitar,,2–0,LW,
–,,Don Madge,,2–0,LW,
–,,Mark O. Madsen,,2–0,LW,
–,,Joseph Solecki,Jim Miller - UFC Vegas 23,2–0,LW,
–,,Jonathan Pearce ↑,Gabriel Benitez,1–1,LW,
–,,Luigi Vendramini,Fares Ziam - UFC 263,1–1,LW,
–,,Fares Ziam,Luigi Vendramini - UFC 263,1–1,LW,
–,,Aalon Cruz,,0–2,LW,
–,,Rodrigo Vargas,Zhu Rong - UFC 261,0–2,LW,
4,,Michael Chandler,Charles Oliveira,1–0,LW,
–,,Tristan Connelly ↓,,1–0,LW,
–,,Guram Kutateladze,Injury,1–0,LW,
–,,Jordan Leavitt,,1–0,LW,
–,,Uros Medic,,1–0,LW,
–,,Mateusz Gamrot,Scott Holtzman - UFC Vegas 23,0–1,LW,
–,,Rafa Garcia,,0–1,LW,
–,,Jai Herbert,Injury,0–1,LW,
–,,Mason Jones,Alan Patrick,0–1,LW,
–,,Alex Munoz,Luis Pena - UFC Vegas 24,0–1,LW,
–,,Alex Reyes ↓,Injury,0–1,LW,
–,,Rafael Alves,Damir Ismagulov - UFC 262,0–0,LW,
–,,Ignacio Bahamondes,John Makdessi - UFC Vegas 23,0–0,LW,
–,,Natan Levy,Austin Hubbard - UFC Vegas 24,0–0,LW,
–,,Tucker Lutz,,0–0,LW,
–,,Nikolas Motta,Damir Hadzovic,0–0,LW,
–,,Paddy Pimblett,,0–0,LW,
–,,Zhu Rong,Rodrigo Vargas - UFC 261,,LW,
,,,,,,
–,,Cub Swanson*,Giga Chikadze,17–10,FW,
1,,Max Holloway,,18–6,FW,
14,,Edson Barboza,Shane Burgos - UFC 262,15–9,FW,
–,,Alex Caceres,,13–10 (1 NC),FW,
–,,Darren Elkins,,15–8,FW,
–,,Andre Fili,,9–7,FW,
–,,Chas Skelly,,7–4,FW,
5,,Chan-Sung Jung*,,6–5,FW,
4,,Yair Rodriguez,USADA Suspension,8–1 (1 NC),FW,
–,,Mirsad Bektic,,6–4,FW,
C.,,Alex Volkanovski,,9–0,FW,
2,,Brian Ortega,,7–1 (1 NC),FW,
7,,Josh Emmett,,7–2,FW,
8,,Dan Ige,,7–2,FW,
–,,Makwan Amirkhani,,6–3,FW,
6,,Calvin Kattar,,6–3,FW,
–,,Daniel Pineda,,4–5,FW,
–,,Charles Rosa,,4–5,FW,
12,,Shane Burgos,Edson Barboza - UFC 262,6–2,FW,
–,,Jared Gordon,,5–3,FW,
–,,Douglas Silva de Andrade,,4–4,FW,
10,,Arnold Allen,Sodiq Yusuff - UFC Vegas 23,7–0,FW,
–,,Ricardo Ramos,Bill Algeo - UFC Vegas 24,5–2,FW,
–,,Zubaira Tukhugov,Injury,4–2–1,FW,
–,,Julian Erosa,Seung Woo Choi,3–4,FW,
3,,Zabit Magomedsharipov,,6–0,FW,
–,,Hakeem Dawodu,Movsar Evloev - UFC 263,5–1,FW,
–,,Gavin Tucker,,4–2,FW,
–,,Dooho Choi,,3–3,FW,
–,,Giga Chikadze,Cub Swanson,5–0,FW,
13,,Bryce Mitchell,,5–0,FW,
–,,Youssef Zalal,Sean Woodson,3–2,FW,
–,,Charles Jourdain,,2–2–1,FW,
–,,Kevin Aguilar,,2–3,FW,
–,,Steven Peterson,Injury,2–3,FW,
–,,Shane Young,,2–3,FW,
–,,Damon Jackson,TJ Laramie,1–2–1 (1 NC),FW,
15,,Movsar Evloev,Hakeem Dawodu - UFC 263,4–0,FW,
–,,Ryan Hall,Ilia Topuria - UFC 264,4–0,FW,
11,,Sodiq Yusuff,Arnold Allen - UFC Vegas 23,4–0,FW,
–,,Omar Morales,,3–1,FW,
–,,Billy Quarantillo,,3–1,FW,
–,,Danny Henry,,2–2,FW,
–,,Seung-Woo Choi,Julian Erosa,2–2,FW,
–,,Jordan Griffin,Luis Saldana - UFC Vegas 23,1–3,FW,
–,,Kyle Nelson,,1–3,FW,
–,,Lerone Murphy,,2–0–1,FW,
–,,Chase Hooper,,2–1,FW,
–,,Darrick Minner,,2–1,FW,
–,,Mike Trizano,Injury,2–1,FW,
–,,Nate Landwehr,,1–2,FW,
–,,Matt Sayles,,1–2,FW,
–,,Ilia Topuria,Ryan Hall - UFC 264,2–0,FW,
–,,Bill Algeo,Ricardo Ramos - UFC Vegas 24,1–1,FW,
–,,Danny Chavez,,1–1,FW,
–,,Kevin Croom,,1–1,FW,
–,,Jamall Emmers,,1–1,FW,
–,,Kron Gracie,,1–1,FW,
–,,Mike Grundy,Injury,1–1,FW,
–,,Kai Kamaka III,TJ Brown,1–1,FW,
–,,Austin Lingo,,1–1,FW,
–,,Sean Woodson,Youssef Zalal,1–1,FW,
–,,Josh Culibao,,0–1–1,FW,
–,,TJ Brown,Kai Kamaka III,0–2,FW,
–,,L'udovit Klein,,1–0,FW,
–,,Steve Garcia Jr. ↓,Injury,0–1,FW,
–,,Bharat Khandare,USADA Suspension,0–1,FW,
–,,TJ Laramie,Damon Jackson,0–1,FW,
–,,Marcelo Rojo,,0–1,FW,
–,,Collin Anglin,,0–0,FW,
–,,Melsik Baghdasaryan,,0–0,FW,
–,,Pat Sabatini,,0–0,FW,
–,,Luis Saldana,Jordan Griffin - UFC Vegas 23,0–0,FW,
,,,,,,
C.,,Amanda Nunes*,,15–2,WFW,
–,,Felicia Spencer,Danyelle Wolf,2–2,WFW,
–,,Zarah Fairn Dos Santos,,0–2,WFW,
–,,Danyelle Wolf,Felicia Spencer,0–0,WFW,
,,,,,,
–,,Urijah Faber*,,19–10,BW,
–,,Rani Yahya*,,19–7–1 (1 NC),BW,
7,,Frankie Edgar,,18–9–1,BW,
5,,José Aldo*,,19–6,BW,
10,,Raphael Assuncao*,,14–7,BW,
–,,Eddie Wineland*,,10–11,BW,
9,,Dominick Cruz*,,13–3,BW,
N/A,,T.J. Dillashaw ↑,Cory Sandhagen,12–4,BW,
15,,Marlon Vera,,10–6,BW,
C.,,Aljamain Sterling,,12–3,BW,
8,,Pedro Munhoz,,10–5,BW,
–,,Louis Smolka,,8–7,BW,
3,,Rob Font,Cody Garbrandt,8–3,BW,
–,,Alejandro Perez,Illness,7–3–1,BW,
11,,Jimmie Rivera,,7–4,BW,
–,,Brian Kelleher,,6–5,BW,
4,,Cody Garbrandt,Rob Font,7–3,BW,
–,,Thomas Almeida,,5–5,BW,
–,,Frankie Saenz,,5–5,BW,
–,,Kyung Ho Kang,,6–2 (1 NC),BW,
6,,Marlon Moraes,,5–4,BW,
2,,Cory Sandhagen,TJ Dillashaw,7–1,BW,
1,,Petr Yan,,7–1,BW,
–,,Ricky Simon,,6–2,BW,
13,,Cody Stamann,Merab Dvalishvili,5–2–1,BW,
–,,Mitch Gagnon,,4–4,BW,
–,,Song Yadong,,5–1–1,BW,
12,,Merab Dvalishvili,Cody Stamann,5–2,BW,
–,,Casey Kenney,,5–2,BW,
–,,Andre Ewell,,4–3,BW,
–,,David Grant,,4–3,BW,
–,,Jonathan Martinez,,4–3,BW,
–,,Johnny Eduardo,,3–4,BW,
–,,Luke Sanders,,3–4,BW,
